icao,name,fuels,avt_excerpt
LFLQ,MONTELIMAR ANCONE,UL91,"← 10 - AVT : AVGAS UL 91. HX : voir / see ACB de Montélimar. Quantité limitée / Limited quantities . Paiement comptant ou carte bancaire. Cash payment or credit card. Approvisionnement entre 0900 et 1700, uniquement sur RDV fixé la veille au 06 95 46 87 14 Refuelling : between 0900 and 1700, only wi"
LFLY,LYON BRON,100LL|JET_A1|SUPER_PLUS|UL_AERO,"← 10 - AVT : Carburants / Fuel : UL AERO SUPER+ - 100 LL - JET A1 (TOTAL Energies et / and Air BP). 0630-2230, carte crédit, Eurochèques ou paiement comptant. Société SCAL : Hors HOR ouverture, TEL : 06 34 53 30 58 Carte TOTAL à la station 100LL : H24. JET A1 : TOTAL ou BP (Carte TOTAL ou Carte Ster"
LFMP,PERPIGNAN RIVESALTES,100LL|JET_A1|SUPER_PLUS|UL_AERO,"10 - AVT : Carburant / Fuel : JET A1. 100LL/AVGAS et / and UL AERO SUPER + par automate en zone sud, proche hangar SABENA (roulettes indispensables pour hélicoptères) / by fuel dispenser in south area, close to hangar SABENA (necessary wheels for HEL). LUN-SAM / MON-SAT : 0500-2000, DIM / SUN : 0630"
LFMV,AVIGNON CAUMONT,100LL|JET_A1|SUPER_PLUS|UL_AERO,"10 - AVT : Carburants / Fuel : AVGAS 100 LL - UL AERO SUPER+ - JET A1 – Lubrifiants / Lubricants : NIL. LUN-VEN / MON-FRI : ETE / SUM : 0500-1900, HIV / WIN : 0600-1930. SAM / SAT : 0630-1730. DIM / SUN : 0730-1830. Automate / Dispenser AVGAS 100LL (envergure MAX / MAX span 15 m) - UL AERO SUPER+ (e"
LFMW,CASTELNAUDARY VILLENEUVE,SUPER_PLUS|UL91,"10 - AVT : Carburant / Fuel : SP98 UL 91, Lubrifiant / Lubricant : NIL. (CIV-MIL) HOR ACB - Bons ENAC et MIL ou paiement comptant. ENAC and MIL vouchers or cash payment. Contacter l'ACB auparavant / Contact ACB in advance."
LFNA,GAP TALLARD,100LL|JET_A1|UL91,"10 - AVT : Carburants / Fuel : 100LL - JET A1 - UL 91. HIV / WIN : 0800-1115, 1230-1530 - ETE / SUM : 0800-1115, 1230-1630. Paiement comptant, carte bancaire / Cash payment, credit card. Hors HOR, 100LL et UL 91 disponible par automate carte bancaire / Outside SKED, 100L and UL 91 available by credi"
LFNE,SALON EYGUIERES,100LL|SUPER_PLUS,10 - AVT : (CIV) Carburant / Fuel : 100 LL SP98 - Lubrifiants / Lubricants : NIL O/R PPR - TEL : 06 80 72 97 11.
LFNH,CARPENTRAS,100LL|UL91,"10 - AVT : Carburants / Fuel : AVGAS 100 LL, UL 91. Lubrifiants / Lubricants : NIL."
LFNJ,ASPRES SUR BUECH,UL91,← 10 - AVT : Carburant / Fuel : UL 91. Station automatique : carte bancaire uniquement / Automatic fuel dispenser : credit card only.
LFOF,ALENCON VALFRAMBERT,UL91,10 - AVT : Carburant / Fuel : UL 91.
LFOI,ABBEVILLE,100LL|UL91,"10 - AVT : 100 LL et / and UL91 - Lubrifiant / Lubricant : NIL - HX. Paiement par CB, chèque, espèces / Payment with credit card, check, cash."
LFPE,MEAUX ESBLY,100LL|UL91,"10 - AVT : Carburant / Fuel: 100 LL, UL 91. Lubrifiants / Lubricants: NIL. Paiements : carte TOTAL H24, espèces, chèques . Payment: TOTAL card H24, cash, cheque . Tous les jours sauf LUN et VEN : HOR ACB 1300-1700 ou O/R en dehors de ces horaires PPR 24 HR. All days except MON and FRI: ACB SKED 1300"
LFPF,BEYNES THIVERVAL,UL91,10 - AVT : Carburant / Fuel : UL91 Lubrifiant / Lubricant : NIL.
LFPL,LOGNES EMERAINVILLE,100LL|JET_A1|SUPER_PLUS|UL_AERO,"10 - AVT : Carburants / Fuel : 100 LL - JET A1 - UL AERO SUPER +. Lubrifiants / Lubricants : NIL. Paiement / Payment : Carte TOTAL / TOTAL card H24. Espèces, CB, Visa ou Mastercard / Cash, CB, Visa or Mastercard. ETE / SUM : 0730-1030, 1200-1600. HIV / WIN : 0830-1130, 1300-1600. TEL : 01 60 05 37 2"
LFQD,ARRAS ROCLINCOURT,100LL|SUPER_PLUS,10 - AVT : Carburant / Fuel : SP 98 et / and 100LL. Lubrifiant / Lubricant : Yacco 2 et 4 temps / Yacco 2 & 4 stroke oil. 1400-1900 sauf DIM et JF / 1400-1900 except SUN and public HOL. TEL : 06 83 01 41 09 ou / or 06 87 80 34 65.
LFSA,BESANCON THISE,SUPER_PLUS,← 10 - AVT : Carburant SP 98 réservé aux aéronefs basés. Lubrifiant : NIL.
LFSH,HAGUENAU,100LL|UL91,"10 - AVT : Carburant / Fuel : 100 LL, UL91 O/R TEL : ACB. Lubrifiants / Lubricants : qualité aviation (CIV) HOR ACB paiement comptant / aviation quality (CIV) ACB SKED cash payment."
LFXU,LES MUREAUX,100LL|UL91,10 - AVT : Carburant / Fuel : 100 LL : se renseigner auprès de / see ACB Roger Janin ; UL 91 : se renseigner auprès de / see ACB Roger Janin. Paiement comptant ou carte de credit TOTAL / Cash payment or TOTAL credit card.
